"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext","actor_id","film_id-2","last_update-2","actor_id-2","first_name","last_name","last_update-3","language_id-2","language_name","last_update-4"
506,"Lady Stage","A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat",2006,1,4,"4.99",67,"14.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'beauti':4 'boat':22 'charact':5 'explor':17 'ladi':1 'man':12 'must':14 'pursu':15 'stage':2 'studi':6 'u':21 'u-boat':20 'woman':9",1,506,"2006-02-15 10:05:03",1,"Penelope","Guiness","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
509,"Language Cowboy","A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park",2006,1,5,"0.99",78,"26.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':19 'amus':20 'cat':8 'cowboy':2 'dentist':16 'epic':4 'languag':1 'madman':11 'must':13 'park':21 'vanquish':14 'yarn':5",1,509,"2006-02-15 10:05:03",1,"Penelope","Guiness","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
605,"Mulholland Beast","A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat",2006,1,7,"2.99",157,"13.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'awe':5 'awe-inspir':4 'battl':16 'beast':2 'boat':23 'display':7 'husband':10 'inspir':6 'jet':22 'mulholland':1 'must':15 'squirrel':13 'sumo':18 'wrestler':19",1,605,"2006-02-15 10:05:03",1,"Penelope","Guiness","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
635,"Oklahoma Jumanji","A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert",2006,1,7,"0.99",58,"15.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'dentist':8 'desert':20 'drama':5 'husband':16 'jumanji':2 'meet':14 'must':13 'oklahoma':1 'sahara':19 'thought':4 'woman':11",1,635,"2006-02-15 10:05:03",1,"Penelope","Guiness","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
749,"Rules Human","A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House",2006,1,6,"4.99",153,"19.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'abandon':19 'astronaut':8 'beauti':4 'confront':14 'epistl':5 'fun':20 'hous':21 'human':2 'monkey':16 'must':13 'rule':1 'student':11",1,749,"2006-02-15 10:05:03",1,"Penelope","Guiness","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
832,"Splash Gump","A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank",2006,1,5,"0.99",175,"16.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':11 'conquer':14 'crocodil':8 'gump':2 'hunter':16 'must':13 'saga':5 'shark':19 'splash':1 'tank':20 'taut':4",1,832,"2006-02-15 10:05:03",1,"Penelope","Guiness","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
939,"Vertigo Northwest","A Unbelieveable Display of a Mad Scientist And a Mad Scientist who must Outgun a Mad Cow in Ancient Japan",2006,1,4,"2.99",90,"17.99","R","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'ancient':21 'cow':19 'display':5 'japan':22 'mad':8,12,18 'must':15 'northwest':2 'outgun':16 'scientist':9,13 'unbeliev':4 'vertigo':1",1,939,"2006-02-15 10:05:03",1,"Penelope","Guiness","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
970,"Westward Seabiscuit","A Lacklusture Tale of a Butler And a Husband who must Face a Boy in Ancient China",2006,1,7,"0.99",52,"11.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'ancient':18 'boy':16 'butler':8 'china':19 'face':14 'husband':11 'lacklustur':4 'must':13 'seabiscuit':2 'tale':5 'westward':1",1,970,"2006-02-15 10:05:03",1,"Penelope","Guiness","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
980,"Wizard Coldblooded","A Lacklusture Display of a Robot And a Girl who must Defeat a Sumo Wrestler in A MySQL Convention",2006,1,4,"4.99",75,"12.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'coldblood':2 'convent':21 'defeat':14 'display':5 'girl':11 'lacklustur':4 'must':13 'mysql':20 'robot':8 'sumo':16 'wizard':1 'wrestler':17",1,980,"2006-02-15 10:05:03",1,"Penelope","Guiness","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
3,"Adaptation Holes","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,1,7,"2.99",50,"18.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'adapt':1 'astound':4 'baloon':19 'car':11 'factori':20 'hole':2 'lumberjack':8,16 'must':13 'reflect':5 'sink':14",2,3,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
31,"Apache Divine","A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat",2006,1,5,"4.99",92,"16.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'apach':1 'awe':5 'awe-inspir':4 'boat':25 'chef':11 'divin':2 'inspir':6 'must':16 'overcom':17 'pastri':10 'reflect':7 'sumo':19 'teacher':14 'u':24 'u-boat':23 'wrestler':20",2,31,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
47,"Baby Hall","A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft",2006,1,5,"4.99",153,"23.99","NC-17","2013-05-26 14:50:58.951","{Commentaries}","'abandon':21 'babi':1 'bore':4 'charact':5 'feminist':18 'girl':13 'hall':2 'mine':22 'must':15 'outrac':16 'shaft':23 'shark':10 'studi':6",2,47,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
105,"Bull Shawshank","A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies",2006,1,6,"0.99",125,"21.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'bull':1 'canadian':19 'conquer':14 'drama':5 'fanci':4 'moos':8 'must':13 'pioneer':16 'rocki':20 'shawshank':2 'squirrel':11",2,105,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
132,"Chainsaw Uptown","A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia",2006,1,6,"0.99",114,"25.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'australia':18 'beauti':4 'boy':8 'chainsaw':1 'discov':14 'documentari':5 'must':13 'robot':11 'squirrel':16 'uptown':2",2,132,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
145,"Chisum Behavior","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India",2006,1,5,"4.99",124,"25.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':19 'behavior':2 'butler':12 'car':17 'chisum':1 'documentari':5 'epic':4 'india':20 'kill':15 'must':14 'sumo':8 'wrestler':9",2,145,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
226,"Destiny Saturday","A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia",2006,1,4,"4.99",56,"20.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'conquer':14 'crocodil':8,11 'destini':1 'drama':5 'explor':16 'georgia':19 'must':13 'saturday':2 'soviet':18 'touch':4",2,226,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
249,"Dracula Crystal","A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House",2006,1,7,"0.99",176,"26.99","G","2013-05-26 14:50:58.951","{Commentaries}","'abandon':19 'cat':11 'crystal':2 'dracula':1 'feminist':8 'find':14 'frisbe':16 'fun':20 'hous':21 'must':13 'reflect':5 'thrill':4",2,249,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
314,"Fight Jawbreaker","A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse",2006,1,3,"0.99",91,"13.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'escap':14 'fight':1 'girl':11,16 'intrepid':4 'jawbreak':2 'manhattan':19 'must':13 'panorama':5 'penthous':20 'woman':8",2,314,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
321,"Flash Wars","A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico",2006,1,3,"4.99",123,"21.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'astound':4 'chase':15 'chef':12 'flash':1 'gulf':20 'mexico':22 'moos':8 'must':14 'pastri':11 'saga':5 'student':17 'war':2",2,321,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
357,"Gilbert Pelican","A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse",2006,1,7,"0.99",114,"13.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'conquer':14 'crocodil':16 'fate':4 'feminist':11 'gilbert':1 'man':8 'manhattan':19 'must':13 'pelican':2 'penthous':20 'tale':5",2,357,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
369,"Goodfellas Salute","A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory",2006,1,4,"4.99",56,"22.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'baloon':20 'cow':17 'dog':8 'explor':11 'factori':21 'goodfella':1 'mad':16 'must':13 'salut':2 'sink':14 'tale':5 'unbeliev':4",2,369,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
399,"Happiness United","A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan",2006,1,6,"2.99",100,"23.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'action':5 'action-pack':4 'ancient':21 'feminist':13 'forens':18 'happi':1 'husband':10 'japan':22 'meet':16 'must':15 'pack':6 'panorama':7 'psychologist':19 'unit':2",2,399,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
458,"Indian Love","A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House",2006,1,4,"0.99",135,"26.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'abandon':21 'astronaut':18 'fun':22 'hous':23 'indian':1 'insight':4 'kill':16 'love':2 'mad':8,12 'must':15 'saga':5 'scientist':9,13",2,458,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
481,"Jekyll Frogmen","A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank",2006,1,4,"2.99",58,"22.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'astronaut':11 'epistl':5 'fanci':4 'frogmen':2 'jekyl':1 'kill':14 'must':13 'shark':19 'student':8 'tank':20 'waitress':16",2,481,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
485,"Jersey Sassy","A Lacklusture Documentary of a Madman And a Mad Cow who must Find a Feminist in Ancient Japan",2006,1,6,"4.99",60,"16.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'ancient':19 'cow':12 'documentari':5 'feminist':17 'find':15 'japan':20 'jersey':1 'lacklustur':4 'mad':11 'madman':8 'must':14 'sassi':2",2,485,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
518,"Liaisons Sweet","A Boring Drama of a A Shark And a Explorer who must Redeem a Waitress in The Canadian Rockies",2006,1,5,"4.99",140,"15.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'bore':4 'canadian':20 'drama':5 'explor':12 'liaison':1 'must':14 'redeem':15 'rocki':21 'shark':9 'sweet':2 'waitress':17",2,518,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
540,"Lucky Flying","A Lacklusture Character Study of a A Shark And a Man who must Find a Forensic Psychologist in A U-Boat",2006,1,7,"2.99",97,"10.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'boat':24 'charact':5 'find':16 'fli':2 'forens':18 'lacklustur':4 'lucki':1 'man':13 'must':15 'psychologist':19 'shark':10 'studi':6 'u':23 'u-boat':22",2,540,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
550,"Maguire Apache","A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon",2006,1,6,"2.99",74,"22.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'apach':2 'baloon':22 'defeat':16 'fast':5 'fast-pac':4 'forens':18 'hunter':13 'maguir':1 'must':15 'pace':6 'psychologist':19 'reflect':7 'waitress':10",2,550,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
555,"Mallrats United","A Thrilling Yarn of a Waitress And a Dentist who must Find a Hunter in A Monastery",2006,1,4,"0.99",133,"25.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'dentist':11 'find':14 'hunter':16 'mallrat':1 'monasteri':19 'must':13 'thrill':4 'unit':2 'waitress':8 'yarn':5",2,555,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
561,"Mask Peach","A Boring Character Study of a Student And a Robot who must Meet a Woman in California",2006,1,6,"2.99",123,"26.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'bore':4 'california':19 'charact':5 'mask':1 'meet':15 'must':14 'peach':2 'robot':12 'student':9 'studi':6 'woman':17",2,561,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
742,"Roof Champion","A Lacklusture Reflection of a Car And a Explorer who must Find a Monkey in A Baloon",2006,1,7,"0.99",101,"25.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'baloon':19 'car':8 'champion':2 'explor':11 'find':14 'lacklustur':4 'monkey':16 'must':13 'reflect':5 'roof':1",2,742,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
754,"Rushmore Mermaid","A Boring Story of a Woman And a Moose who must Reach a Husband in A Shark Tank",2006,1,6,"2.99",150,"17.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'bore':4 'husband':16 'mermaid':2 'moos':11 'must':13 'reach':14 'rushmor':1 'shark':19 'stori':5 'tank':20 'woman':8",2,754,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
811,"Smile Earring","A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin",2006,1,4,"2.99",60,"29.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'berlin':19 'build':14 'butler':11 'chef':17 'drama':5 'earring':2 'intrepid':4 'must':13 'pastri':16 'smile':1 'teacher':8",2,811,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
958,"Wardrobe Phantom","A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India",2006,1,6,"2.99",178,"19.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'action':5 'action-pack':4 'ancient':21 'astronaut':14 'car':19 'cow':11 'display':7 'india':22 'kill':17 'mad':10 'must':16 'pack':6 'phantom':2 'wardrob':1",2,958,"2006-02-15 10:05:03",2,"Nick","Wahlberg","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
17,"Alone Trip","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,1,3,"0.99",82,"14.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'abandon':22 'alon':1 'boat':19 'charact':7 'compos':11 'dog':14 'fast':5 'fast-pac':4 'fun':23 'hous':24 'must':16 'outgun':17 'pace':6 'studi':8 'trip':2",3,17,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
40,"Army Flintstones","A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria",2006,1,4,"0.99",148,"22.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'administr':9 'armi':1 'battl':15 'bore':4 'databas':8 'flintston':2 'must':14 'nigeria':19 'saga':5 'waitress':17 'woman':12",3,40,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
42,"Artist Coldblooded","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California",2006,1,5,"2.99",170,"10.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'artist':1 'california':18 'challeng':14 'coldblood':2 'moos':11 'must':13 'reflect':5 'robot':8 'stun':4 'woman':16",3,42,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
87,"Boondock Ballroom","A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico",2006,1,7,"0.99",76,"14.99","NC-17","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'ballroom':2 'boondock':1 'boy':11 'crocodil':8 'defeat':14 'fate':4 'gulf':19 'mexico':21 'monkey':16 'must':13 'panorama':5",3,87,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
111,"Caddyshack Jedi","A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia",2006,1,3,"0.99",52,"17.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'awe':5 'awe-inspir':4 'caddyshack':1 'epistl':7 'fight':16 'georgia':21 'inspir':6 'jedi':2 'madman':13 'must':15 'robot':18 'soviet':20 'woman':10",3,111,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
185,"Cowboy Doom","A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon",2006,1,3,"2.99",146,"10.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'astound':4 'baloon':19 'boy':8 'butler':16 'cowboy':1 'doom':2 'drama':5 'fight':14 'lumberjack':11 'must':13",3,185,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
289,"Eve Resurrection","A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon",2006,1,5,"4.99",66,"25.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'administr':15 'awe':5 'awe-inspir':4 'baloon':23 'challeng':18 'chef':11 'databas':14 'eve':1 'inspir':6 'must':17 'pastri':10 'resurrect':2 'teacher':20 'yarn':7",3,289,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
329,"Forrest Sons","A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat",2006,1,4,"2.99",63,"15.99","R","2013-05-26 14:50:58.951","{Commentaries}","'boat':21 'butler':12 'defeat':15 'documentari':5 'explor':17 'forens':8 'forrest':1 'jet':20 'must':14 'psychologist':9 'son':2 'thrill':4",3,329,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
336,"French Holiday","A Thrilling Epistle of a Dog And a Feminist who must Kill a Madman in Berlin",2006,1,5,"4.99",99,"22.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'berlin':18 'dog':8 'epistl':5 'feminist':11 'french':1 'holiday':2 'kill':14 'madman':16 'must':13 'thrill':4",3,336,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
341,"Frost Head","A Amazing Reflection of a Lumberjack And a Cat who must Discover a Husband in A MySQL Convention",2006,1,5,"0.99",82,"13.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'amaz':4 'cat':11 'convent':20 'discov':14 'frost':1 'head':2 'husband':16 'lumberjack':8 'must':13 'mysql':19 'reflect':5",3,341,"2006-02-15 10:05:03",3,"Ed","Chase","2013-05-26 14:47:57.62",1,"English             ","2006-02-15 10:02:19"
